TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
LESAO CORPORAL SEGUIDA DE MORTE;18:00;ALECRIM;R INTERVENTOR MARIO CAMARA ;MASCULINO;NEGRA;39;CABECEIRO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;agosto;17;segunda-feira;ADULTO;18;VESPERTINO
HOMICIDIO;08:13;ALECRIM;R DOS CANINDES;FEMININO;PARDA;51;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;julho;16;quinta-feira;ADULTO;8;MATUTINO
HOMICIDIO;21:00;ALECRIM;R FONSECA E SILVA;MASCULINO;PARDA;26;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;outubro;9;sexta-feira;ADULTO;21;NOTURNO
HOMICIDIO;10:34;ALECRIM;AV 3 COM AV 6;MASCULINO;BRANCA;33;EX DETENTO DESOCUPADO;NI;ARMA DE FOGO;abril;3;sexta-feira;ADULTO;11;MATUTINO
HOMICIDIO;20:00;ALECRIM;AV PRES SARMENTO;MASCULINO;PARDA;33;EX DETENTO DESOCUPADO;NI;ARMA DE FOGO;setembro;26;sábado;ADULTO;20;NOTURNO
HOMICIDIO;09:52;ALECRIM;R LEONEL LEITE;MASCULINO;PARDA;18;DESOCUPADO(A);NI;ARMA DE FOGO;fevereiro;20;sexta-feira;ADULTO;10;MATUTINO
HOMICIDIO;20:00;ALECRIM;R SATIRO DIAS;MASCULINO;PARDA;21;NI;NI;ARMA DE FOGO;agosto;20;quinta-feira;ADULTO;20;NOTURNO
HOMICIDIO;15:00;ALECRIM;R SEVERINO ALVES BILA;MASCULINO;NEGRA;21;DESEMPREGADO;NI;ARMA DE FOGO;outubro;17;sábado;ADULTO;15;VESPERTINO
HOMICIDIO;NI;ALECRIM;AV PRES SARMENTO;MASCULINO;PARDA;34;NI;NI;OBJETO CONTUNDENTE;setembro;14;segunda-feira;ADULTO;NI;NI
HOMICIDIO;NI;ALECRIM;AV PRES SARMENTO;MASCULINO;BRANCA;38;EMPRESARIO(A);SUPERIOR;ARMA DE FOGO;agosto;19;quarta-feira;ADULTO;NI;NI
HOMICIDIO;22:02;BOM PASTOR;AV BOM PASTOR;MASCULINO;PARDA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;20;sexta-feira;ADULTO;22;NOTURNO
HOMICIDIO;NI;BOM PASTOR;AV BOM PASTOR;MASCULINO;NEGRA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;setembro;2;quarta-feira;ADULTO;NI;NI
HOMICIDIO;02:17;BOM PASTOR;AV BOM PASTOR;MASCULINO;PARDA;22;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;21;sábado;ADULTO;2;MADRUGADA
HOMICIDIO;19:00;BOM PASTOR;R DA FONTE EM FRENTE AO N° 06 VP;MASCULINO;PARDA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;janeiro;16;sexta-feira;ADOLESCENTE;19;NOTURNO
HOMICIDIO;20:49;BOM PASTOR;R DA PAZ;MASCULINO;PARDA;32;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;novembro;30;segunda-feira;ADULTO;21;NOTURNO
HOMICIDIO;16:00;BOM PASTOR;R SAMPAIO CORREIA;MASCULINO;NEGRA;22;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;outubro;11;domingo;ADULTO;16;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;21:51;BOM PASTOR;R TRAIRI;MASCULINO;PARDA;28;GARI;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;maio;27;quarta-feira;ADULTO;22;NOTURNO
HOMICIDIO;11:23;BOM PASTOR;R DR JOSE NUNES, EM FRENTE DO COLEGIO EXEMPLAR;MASCULINO;BRANCA;43;VENDEDOR DE CARROS;ENSINO MEDIO COMPLETO;ARMA DE FOGO;junho;9;terça-feira;ADULTO;11;MATUTINO
HOMICIDIO;07:34;BOM PASTOR;R MANOEL MARQUES;MASCULINO;PARDA;37;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;maio;28;quinta-feira;ADULTO;8;MATUTINO
FEMINICIDIO;NI;BOM PASTOR;R MANOEL MIRANDA;FEMININO;PARDA;24;EDIFICACAO;ENSINO MEDIO COMPLETO;OBJETO CONTUNDENTE;setembro;18;sexta-feira;ADULTO;NI;NI
HOMICIDIO;19:40;BOM PASTOR;AV CAP MOR GOUVEIA;MASCULINO;NEGRA;26;DESEMPREGADO;NI;ARMA DE FOGO;novembro;26;quinta-feira;ADULTO;20;NOTURNO
HOMICIDIO;00:32;BOM PASTOR;AV JOAO FRANCISCO DA MOTA;MASCULINO;BRANCA;22;NI;NI;ARMA DE FOGO;maio;29;sexta-feira;ADULTO;1;NOTURNO
HOMICIDIO;18:00;BOM PASTOR;AV SAMPAIO CORREIA;MASCULINO;PARDA;24;NI;NI;ARMA DE FOGO;março;4;quarta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;21:24;BOM PASTOR;AV SAMPAIO CORREIA;MASCULINO;BRANCA;22;DESEMPREGADO;NI;ARMA DE FOGO;abril;4;sábado;ADULTO;21;NOTURNO
HOMICIDIO;00:32;BOM PASTOR;FAVELA DO CAMBUIM, POR TRAS DO CEMITERIO DE BOM PASTOR;MASCULINO;PARDA;12;MENOR DEPENDENTE;NI;ARMA DE FOGO;março;29;domingo;ADOLESCENTE;1;NOTURNO
HOMICIDIO;19:23;BOM PASTOR;R TONRECA DANTAS, ESC. COM MIGUEL CASTRO;MASCULINO;NEGRA;23;NI;NI;ARMA DE FOGO;junho;28;domingo;ADULTO;19;NOTURNO
HOMICIDIO;16:00;BOM PASTOR;TV DR NAPOLEAO LAUREANO;MASCULINO;NEGRA;27;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;outubro;18;domingo;ADULTO;16;VESPERTINO
HOMICIDIO;00:39;BOM PASTOR;TV MENESIO PALMEIRAS DE LEMOS;MASCULINO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;dezembro;12;sábado;ADOLESCENTE;1;NOTURNO
