TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;01:38;BOM PASTOR;R JERUSALEM, EM FRENTE AO 44;MASCULINO;NEGRA;28;DESEMPREGADO;NI;ARMA DE FOGO;março;20;domingo;ADULTO;2;MADRUGADA
HOMICIDIO;14:49;BOM PASTOR;R PARAISO DO NORTE;MASCULINO;PARDA;25;SEM PROFISSAO;NI;ARMA DE FOGO;março;6;domingo;ADULTO;15;VESPERTINO
HOMICIDIO;NI;BOM PASTOR;RUA DR. MANOEL MIRANDA ;MASCULINO;PARDA;34;DESEMPREGADO;NI;ARMA DE FOGO;julho;29;sexta-feira;ADULTO;NI;NI
HOMICIDIO;20:16;BOM PASTOR;RUA HENRIQUE DIAS;MASCULINO;NI;25;NI;NI;ARMA DE FOGO;dezembro;4;domingo;ADULTO;20;NOTURNO
HOMICIDIO;19:10;BOM PASTOR;RUA MANOEL MIRANDA ;MASCULINO;NI;27;NI;NI;ARMA DE FOGO;outubro;23;domingo;ADULTO;19;NOTURNO
HOMICIDIO;22:00;BOM PASTOR;TV JERUSALEM;MASCULINO;PARDA;18;NI;NI;ARMA DE FOGO;outubro;12;quarta-feira;ADULTO;22;NOTURNO
HOMICIDIO;16:07;BOM PASTOR;TV MANOEL COELHO, PROXIMO AO 179;MASCULINO;PARDA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;abril;18;segunda-feira;ADOLESCENTE;16;VESPERTINO
HOMICIDIO;08:00;BOM PASTOR;TV. SILVIO CALDAS ;MASCULINO;PARDA;22;APOSENTADO(A);NI;ARMA DE FOGO;agosto;12;sexta-feira;ADULTO;8;MATUTINO
HOMICIDIO;03:05;CANDELÁRIA;AV DA INTEGRAÇÃO;MASCULINO;PARDA;22;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;outubro;3;segunda-feira;ADULTO;3;MADRUGADA
FEMINICIDIO;21:02;CANDELÁRIA;R AGNALDO DE BARROS, 376 (VERUS BAR);FEMININO;NEGRA;31;ACOMPANHANTE INTIMO;NI;ARMA DE FOGO;março;25;sexta-feira;ADULTO;21;NOTURNO
