TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;03:20;ALECRIM;RUA NONATO MOTA COM ROCHA POMBO;MASCULINO;NI;32;NI;NI;ARMA DE FOGO;julho;9;domingo;ADULTO;3;MADRUGADA
HOMICIDIO;19:39;ALECRIM;AV. PRESIDENTE BANDEIRA, VILA SAO FRANCISCO EM FRENTE A CASA Nº 682 A - PROX A ASSEMBLEIA DE DEUS - ENTRE OS BANCOS BRADESCO E CAIXA;MASCULINO;PARDA;21;DESEMPREGADO;NI;ARMA DE FOGO;fevereiro;16;quinta-feira;ADULTO;20;NOTURNO
HOMICIDIO;14:30;ALECRIM;RUA ARI PARREIRAS, Nº 1419, GALPAO DA TORCIDA ORGANIZADA MAFIA VERMELHA.;MASCULINO;PARDA;25;AUXILIAR DE SERRALHEIRO;NI;ARMA DE FOGO;agosto;15;terça-feira;ADULTO;15;VESPERTINO
HOMICIDIO;21:15;ALECRIM;AV DO CONTORNO - POR TRAS DA CASA DO ESTUDANTE;MASCULINO;PARDA;38;DESEMPREGADO;NI;ARMA DE FOGO;fevereiro;24;sexta-feira;ADULTO;21;NOTURNO
HOMICIDIO;14:25;ALECRIM;RUA NOVA CENTRAL - ENCONTRADO NUM TERRENO BALDIO PROXIMO A CAPELA DA GUARITA;MASCULINO;PARDA;23;DESEMPREGADO;NI;ARMA DE FOGO;novembro;28;terça-feira;ADULTO;14;VESPERTINO
HOMICIDIO;17:30;ALECRIM;RUA PRESIDENTE SARMENTO, ESQUINA COM A RUA CICERO MENDONÇA;MASCULINO;PARDA;39;DESEMPREGADO;NI;ARMA DE FOGO;fevereiro;25;sábado;ADULTO;18;VESPERTINO
HOMICIDIO;12:41;ALECRIM;CRUZAMENTO DA OLINTO MEIRA COM AV ALEXANDRINO ALENCAR - AO LADO DO POSTO DE GASOLINA NATAL;MASCULINO;PARDA;27;FLANELINHA;NI;ARMA DE FOGO;novembro;24;sexta-feira;ADULTO;13;VESPERTINO
LATROCINIO;08:59;ALECRIM;RUA DOS PAJEUS AO LADO Nº 1240 COM AV ALEXANDRINO DE ALENCAR - PROXIMO AO CLUBE ATLANTICO;MASCULINO;PARDA;78;APOSENTADO;NI;ARMA DE FOGO;novembro;28;terça-feira;IDOSO;9;MATUTINO
HOMICIDIO;00:30;ALECRIM;AV 6 COM AV. 4, PADARIA AVENIDA;MASCULINO;PARDA;28;VENDEDOR;NI;ARMA DE FOGO;julho;20;quinta-feira;ADULTO;1;NOTURNO
HOMICIDIO;16:33;ALECRIM;RUA MANOEL MIRANDA COM A AV 04;MASCULINO;PARDA;35;BORRACHEIRO;NI;ARMA DE FOGO;maio;1;segunda-feira;ADULTO;17;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;19:40;ALECRIM;RUA ROCHA POMBO, PROXIMO A LOJA VERONA;MASCULINO;PARDA;17;COMERCIANTE;NI;ARMA DE FOGO;outubro;18;quarta-feira;ADOLESCENTE;20;NOTURNO
HOMICIDIO;07:00;ALECRIM;TV SAO LUIS, EM FRENTE AO Nº 375, NA AV 03 COM AV 06 PROX AO POSTO DE GALOSINA;MASCULINO;PARDA;29;AUTONOMO;NI;ARMA DE FOGO;março;6;segunda-feira;ADULTO;7;MATUTINO
HOMICIDIO;00:00;ALECRIM;NI;MASCULINO;PARDA;24;DESEMPREGADO;NI;ARMA DE FOGO;março;21;terça-feira;ADULTO;0;NOTURNO
HOMICIDIO;17:48;ALECRIM;TV SAO LUCAS, Nº 13, PROXIMO AO MERCADINHO LS, PROXIMO AO FRICARNES;MASCULINO;PARDA;29;AUXILIAR MECANICO;NI;ARMA DE FOGO;dezembro;10;domingo;ADULTO;18;VESPERTINO
